timestamp,version,msgtype,seq,timestamp_ms,mode,batt_mv,temp_c,press_pa,alt_cm,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,light,comp_len,raw_len
1756387249,1,1,2938,4040592861,OP,4126,23.46,101326,4294967288,-5,0,2,-53,-17,1007,742,0,40
1756387250,1,1,2939,4040593361,OP,4126,23.68,101327,4294967277,10,13,-3,32,-20,1005,727,0,40
1756387250,1,1,2940,4040593862,OP,4126,23.35,101326,4294967280,-38,-1,-6,38,16,951,667,0,40
1756387251,1,1,2941,4040594362,OP,4126,23.81,101325,4294967292,10,7,41,-91,-14,885,715,0,40
1756387251,1,1,2942,4040594863,OP,4126,23.67,101327,4294967273,-14,43,-20,25,4,999,669,0,40
1756387252,1,1,2943,4040595363,OP,4126,23.32,101324,7,-7,11,-23,82,-44,1039,671,0,40
1756387252,1,1,2944,4040595863,OP,4126,23.6,101325,4294967294,-38,-25,-35,-54,-34,1024,639,0,40
1756387253,1,1,2945,4040596364,OP,4126,23.47,101326,4294967284,17,0,3,34,51,999,622,0,40
1756387253,1,1,2946,4040596864,OP,4126,23.8,101327,4294967273,20,1,-37,55,-31,977,618,0,40
1756387254,1,1,2947,4040597365,OP,4126,23.76,101327,4294967275,-17,-9,0,-43,-48,951,543,0,40
1756387254,1,1,2948,4040597865,OP,4126,23.4,101326,4294967288,31,-18,-17,20,11,953,585,0,40
1756387255,1,1,2949,4040598365,OP,4126,23.74,101323,8,-17,-16,9,-44,-67,862,555,0,40
1756387255,1,1,2950,4040598866,OP,4126,24.06,101326,4294967284,-4,-36,3,-31,95,974,519,0,40
1756387256,1,1,2951,4040599366,OP,4126,23.69,101326,4294967288,-10,-5,6,-111,13,925,402,0,40
1756387256,1,1,2952,4040599867,OP,4126,24.04,101325,4294967294,32,-43,-13,20,39,899,552,0,40
1756387257,1,1,2953,4040600369,OP,4126,23.92,101324,6,4,-6,2,47,-71,972,404,0,40
1756387257,1,1,2954,4040600870,OP,4126,23.73,101324,2,-27,9,11,5,46,1003,340,0,40
1756387258,1,1,2955,4040601370,OP,4126,23.75,101324,4,-26,-25,15,62,63,894,406,0,40
1756387258,1,1,2956,4040601871,OP,4126,23.97,101326,4294967286,-28,26,18,-83,87,1008,396,0,40
1756387259,1,1,2957,4040602371,OP,4125,23.63,101327,4294967277,-2,-4,-22,45,23,986,458,0,40
1756387259,1,1,2958,4040602872,OP,4125,23.77,101326,4294967284,3,-9,-2,-15,17,1053,374,0,40
1756387260,1,1,2959,4040603372,OP,4125,23.62,101327,4294967278,-31,34,-8,-104,-36,974,307,0,40
1756387260,1,1,2960,4040603873,OP,4125,23.7,101326,4294967286,-14,2,7,-23,12,998,325,0,40
1756387261,1,1,2961,4040604373,OP,4125,23.9,101324,1,-18,-32,14,43,78,1028,275,0,40
1756387261,1,1,2962,4040604874,OP,4125,24.05,101325,4294967291,-17,7,7,56,25,1062,243,0,40
1756387262,1,1,2963,4040605374,OP,4125,24.09,101326,4294967283,-13,-30,-20,19,-5,1076,239,0,40
1756387262,1,1,2964,4040605875,OP,4125,24.19,101325,4294967295,-7,43,-20,64,-27,1031,213,0,40
1756387263,1,1,2965,4040606375,OP,4125,23.93,101325,4294967291,-20,-31,15,16,24,1091,281,0,40
1756387263,1,1,2966,4040606876,OP,4125,23.79,101324,0,0,6,-24,19,-93,1077,137,0,40
1756387264,1,1,2967,4040607376,OP,4125,24.23,101325,4294967293,0,4,5,-52,0,958,242,0,40
1756387264,1,1,2968,4040607878,OP,4125,24.02,101325,4294967289,4,37,30,18,-63,1000,199,0,40
1756387265,1,1,2969,4040608379,OP,4125,24.04,101323,12,-24,33,0,-41,7,971,142,0,40
1756387265,1,1,2970,4040608881,OP,4125,24.04,101324,0,9,-18,3,-14,0,1090,172,0,40
1756387266,1,1,2971,4040609381,OP,4125,24.02,101324,1,-1,-3,-11,-4,180,941,125,0,40
1756387266,1,1,2972,4040609883,OP,4125,24.2,101322,16,-22,-6,1,-59,50,1072,79,0,40
1756387267,1,1,2973,4040610384,OP,4125,24.34,101323,15,7,-28,10,7,-70,992,87,0,40
1756387267,1,1,2974,4040610885,OP,4125,24.11,101322,20,-13,1,13,-23,7,1020,151,0,40
1756387268,1,1,2975,4040611386,OP,4125,24.12,101322,18,38,40,-3,-15,-53,980,147,0,40
1756387268,1,1,2976,4040611888,OP,4125,24.48,101324,0,-7,-16,8,-34,-4,988,104,0,40
1756387269,1,1,2977,4040612388,OP,4125,24.5,101324,7,2,-26,-46,75,13,989,172,0,40
1756387269,1,1,2978,4040612889,OP,4125,24.1,101325,4294967289,2,9,25,-38,-41,963,53,0,40
1756387270,1,1,2979,4040613392,OP,4125,24.2,101324,3,-4,6,-2,-36,12,940,51,0,40
1756387270,1,1,2980,4040613893,OP,4125,23.96,101322,20,-6,-29,7,-2,-14,932,142,0,40
1756387271,1,1,2981,4040614396,OP,4125,24.43,101324,3,16,-31,0,5,-6,1030,58,0,40
1756387271,1,1,2982,4040614896,OP,4125,24.54,101323,14,-17,-20,1,15,31,983,99,0,40
1756387272,1,1,2983,4040615397,OP,4125,23.9,101322,18,14,-4,3,-14,-2,985,77,0,40
1756387272,1,1,2984,4040615898,OP,4125,24.31,101324,2,-21,-30,-9,6,-25,1036,151,0,40
1756387273,1,1,2985,4040616398,OP,4125,24.04,101323,8,43,-27,1,58,18,993,84,0,40
1756387273,1,1,2986,4040616899,OP,4125,24.53,101323,9,-1,-7,2,-23,-40,1040,118,0,40
1756387274,1,1,2987,4040617400,OP,4125,24.24,101322,21,21,3,20,11,-68,971,83,0,40
1756387274,1,1,2988,4040617900,OP,4125,24.31,101323,10,-14,-7,0,-31,-33,1102,82,0,40
1756387275,1,1,2989,4040618400,OP,4125,24.93,101325,0,18,26,15,57,112,1063,195,0,40
1756387275,1,1,2990,4040618901,OP,4125,24.17,101323,14,-17,-9,15,79,-16,987,114,0,40
1756387276,1,1,2991,4040619401,OP,4125,24.14,101320,37,-49,4,-44,-40,24,1043,200,0,40
1756387276,1,1,2992,4040619902,OP,4125,24.67,101323,16,-15,-4,-38,40,34,1046,189,0,40
1756387277,1,1,2993,4040620402,OP,4125,24.33,101322,20,-6,-13,-27,20,25,1041,126,0,40
1756387277,1,1,2994,4040620902,OP,4125,24.63,101322,21,-3,16,19,-37,2,939,145,0,40
1756387278,1,1,2995,4040621404,OP,4125,24.29,101323,16,2,14,-1,-9,61,1019,190,0,40
1756387278,1,1,2996,4040621904,OP,4125,24.65,101323,10,-15,-26,-31,82,-7,939,175,0,40
1756387279,1,1,2997,4040622405,OP,4124,24.75,101322,17,-21,-6,10,29,53,949,224,0,40
1756387279,1,1,2998,4040622906,OP,4124,24.4,101323,16,-2,-3,18,40,32,1080,157,0,40
1756387280,1,1,2999,4040623406,OP,4124,24.9,101324,4,25,-30,-17,-28,-30,1049,241,0,40
1756387280,1,1,3000,4040623907,OP,4124,24.73,101321,26,15,-15,67,53,-27,1039,320,0,40
1756387281,1,1,3001,4040624407,OP,4124,24.54,101324,7,14,33,21,16,54,972,241,0,40
1756387281,1,1,3002,4040624908,OP,4124,24.4,101321,27,16,2,30,-27,-79,1092,333,0,40
1756387282,1,1,3003,4040625409,OP,4124,24.61,101321,28,-37,0,2,-55,34,1049,352,0,40
1756387282,1,1,3004,4040625911,OP,4124,24.46,101322,20,-16,-22,27,-2,-51,984,303,0,40
1756387283,1,1,3005,4040626413,OP,4124,24.96,101323,16,10,25,-5,-31,-1,1017,366,0,40
1756387283,1,1,3006,4040626914,OP,4124,24.71,101322,21,-22,0,4,-54,-9,906,357,0,40
1756387284,1,1,3007,4040627415,OP,4124,24.81,101321,32,-12,29,38,17,59,1028,446,0,40
1756387284,1,1,3008,4040627916,OP,4124,24.74,101321,26,13,3,-23,9,-93,899,374,0,40
1756387285,1,1,3009,4040628417,OP,4124,24.99,101322,20,-7,-25,-24,-28,-48,1067,352,0,40
1756387285,1,1,3010,4040628919,OP,4124,24.9,101322,23,-28,3,21,39,48,969,453,0,40
1756387286,1,1,3011,4040629420,OP,4124,24.92,101323,14,-16,-35,-34,-75,18,1073,571,0,40
1756387286,1,1,3012,4040629921,OP,4124,24.95,101322,19,-11,25,44,-26,-92,924,462,0,40
1756387287,1,1,3013,4040630422,OP,4124,24.53,101322,20,-3,-3,11,-69,25,1041,536,0,40
1756387287,1,1,3014,4040630923,OP,4124,24.82,101324,4,4,9,17,56,-28,1028,574,0,40
1756387288,1,1,3015,4040631424,OP,4124,25.01,101324,2,-18,8,1,-76,-15,967,533,0,40
1756387288,1,1,3016,4040631926,OP,4124,25.13,101321,25,-37,1,21,36,28,1036,534,0,40
1756387289,1,1,3017,4040632427,OP,4124,25.26,101323,16,5,-25,16,-26,-114,981,600,0,40
1756387289,1,1,3018,4040632928,OP,4124,25.09,101322,22,3,-21,-19,-40,-122,1029,574,0,40
1756387290,1,1,3019,4040633430,OP,4124,24.94,101320,36,0,-33,0,-16,48,965,704,0,40
1756387290,1,1,3020,4040633934,OP,4124,25.07,101321,26,-7,-6,17,44,-132,978,595,0,40
1756387291,1,1,3021,4040634436,OP,4124,25.02,101320,33,41,-10,16,-21,-22,1014,673,0,40
1756387291,1,1,3022,4040634937,OP,4124,25.45,101320,34,-14,32,28,-36,55,965,721,0,40
1756387292,1,1,3023,4040635439,OP,4124,25.53,101322,18,-19,-16,1,55,8,956,697,0,40
1756387292,1,1,3024,4040635940,OP,4124,25.18,101323,16,-17,-18,3,8,15,1058,768,0,40
1756387293,1,1,3025,4040636442,OP,4124,25.18,101322,22,-29,10,19,51,12,1073,764,0,40
1756387293,1,1,3026,4040636944,OP,4124,25.62,101322,24,0,-16,14,-39,3,955,751,0,40
1756387294,1,1,3027,4040637445,OP,4124,25.27,101319,48,-21,3,27,51,-69,883,749,0,40
1756387294,1,1,3028,4040637947,OP,4124,25.38,101320,33,-8,-20,-5,-24,9,1051,796,0,40
1756387295,1,1,3029,4040638447,OP,4124,25.39,101322,20,-32,5,-1,-73,-19,1012,798,0,40
1756387295,1,1,3030,4040638949,OP,4124,25.5,101319,45,-20,25,12,46,69,902,778,0,40
1756387296,1,1,3031,4040639450,OP,4124,25.32,101322,20,16,-7,9,-5,3,1095,787,0,40
1756387296,1,1,3032,4040639951,OP,4124,25.49,101319,48,51,-22,-14,10,16,1054,831,0,40
1756387297,1,1,3033,4040640452,OP,4124,25.25,101320,38,26,3,-30,-4,-50,1033,878,0,40
1756387297,1,1,3034,4040640953,OP,4124,25.57,101320,40,7,-36,0,55,41,998,931,0,40
1756387298,1,1,3035,4040641454,OP,4124,25.8,101320,33,-10,5,-2,75,-4,1015,893,0,40
1756387298,1,1,3036,4040641958,OP,4124,25.49,101321,29,6,1,-8,46,-5,1015,845,0,40
1756387299,1,1,3037,4040642458,OP,4123,25.4,101321,25,-3,-18,17,-9,2,968,875,0,40
1756387299,1,1,3038,4040642960,OP,4123,25.57,101322,23,38,-17,-5,66,51,1111,932,0,40
1756387300,1,1,3039,4040643462,OP,4123,25.6,101320,38,11,-5,4,-16,-3,1067,944,0,40
1756387300,1,1,3040,4040643964,OP,4123,25.43,101319,46,30,-2,15,29,18,1030,979,0,40
1756387301,1,1,3041,4040644466,OP,4123,25.7,101321,28,1,13,11,-41,36,1036,864,0,40
1756387301,1,1,3042,4040644968,OP,4123,25.95,101321,25,10,14,10,-27,28,972,874,0,40
1756387302,1,1,3043,4040645469,OP,4123,25.74,101320,40,2,-8,9,-76,-64,1004,855,0,40
1756387302,1,1,3044,4040645971,OP,4123,25.67,101322,19,-23,21,-7,50,140,1064,958,0,40
1756387303,1,1,3045,4040646474,OP,4123,25.71,101320,34,-40,-22,-5,-34,-63,1042,936,0,40
1756387303,1,1,3046,4040646975,OP,4123,25.69,101321,32,-17,-25,14,-26,-47,929,886,0,40
1756387304,1,1,3047,4040647477,OP,4123,26.02,101321,26,-8,-20,8,16,30,964,859,0,40
1756387304,1,1,3048,4040647978,OP,4123,25.61,101321,30,-15,13,-7,46,69,929,945,0,40
1756387305,1,1,3049,4040648479,OP,4123,25.73,101321,31,-6,-14,-4,-62,0,1026,882,0,40
1756387305,1,1,3050,4040648979,OP,4123,25.74,101320,38,-38,-49,30,-45,54,990,900,0,40
1756387306,1,1,3051,4040649480,OP,4123,26.06,101320,34,-24,-26,-28,-18,76,955,906,0,40
1756387306,1,1,3052,4040649982,OP,4123,25.79,101320,38,0,3,-14,26,-2,944,832,0,40
1756387307,1,1,3053,4040650486,OP,4123,25.94,101320,40,21,-1,8,0,-25,1035,863,0,40
1756387307,1,1,3054,4040650988,OP,4123,26.2,101320,41,-11,7,6,2,61,1013,897,0,40
1756387308,1,1,3055,4040651488,OP,4123,25.89,101319,48,-10,-19,16,65,53,941,932,0,40
1756387308,1,1,3056,4040651989,OP,4123,25.99,101320,34,-1,0,5,-2,-49,1149,834,0,40
1756387309,1,1,3057,4040652490,OP,4123,25.94,101320,36,2,-23,-17,-2,100,1034,809,0,40
1756387309,1,1,3058,4040652992,OP,4123,26.09,101321,33,-12,-25,-36,66,2,990,797,0,40
1756387310,1,1,3059,4040653495,OP,4123,25.86,101321,29,4,55,28,38,81,991,863,0,40
1756387310,1,1,3060,4040653996,OP,4123,26.31,101320,36,8,-11,-4,-32,-48,1026,823,0,40
1756387311,1,1,3061,4040654498,OP,4123,25.93,101319,48,-24,10,-17,41,6,1094,789,0,40
1756387311,1,1,3062,4040655000,OP,4123,25.77,101321,26,-18,-23,-17,-34,65,982,789,0,40
1756387312,1,1,3063,4040655502,OP,4123,25.74,101320,41,38,-26,0,-31,-88,972,751,0,40
1756387312,1,1,3064,4040656003,OP,4123,26.51,101320,39,23,-23,-9,-4,-1,929,710,0,40
1756387313,1,1,3065,4040656505,OP,4123,25.86,101318,51,-27,-38,3,-127,-91,1056,737,0,40
1756387313,1,1,3066,4040657006,OP,4123,26.04,101321,26,-2,7,-13,-31,37,996,691,0,40
1756387314,1,1,3067,4040657508,OP,4123,26.13,101321,33,-10,-2,18,-6,0,876,719,0,40
1756387314,1,1,3068,4040658009,OP,4123,26.19,101320,37,16,13,43,-2,36,867,662,0,40
1756387315,1,1,3069,4040658511,OP,4123,26.07,101320,40,-14,8,7,36,-84,987,673,0,40
1756387315,1,1,3070,4040659013,OP,4123,26.27,101321,32,8,15,-42,63,21,1083,617,0,40
1756387316,1,1,3071,4040659514,OP,4123,26.15,101321,25,6,-31,12,9,45,910,605,0,40
1756387316,1,1,3072,4040660015,OP,4123,26.21,101321,32,27,-6,-23,65,-13,978,590,0,40
1756387317,1,1,3073,4040660516,OP,4123,26.22,101320,39,-2,1,0,29,-102,979,568,0,40
1756387317,1,1,3074,4040661017,OP,4123,25.94,101320,38,-9,14,-25,-35,-38,1083,550,0,40
1756387318,1,1,3075,4040661518,OP,4123,26.13,101321,30,10,-11,1,31,-109,1041,446,0,40
1756387318,1,1,3076,4040662020,OP,4123,26.34,101321,32,4,14,-21,23,-16,1039,482,0,40
1756387319,1,1,3077,4040662521,OP,4122,26.61,101320,33,-39,-27,-1,39,-46,1023,414,0,40
1756387319,1,1,3078,4040663021,OP,4122,26.44,101320,33,10,3,11,0,-13,1051,451,0,40
1756387320,1,1,3079,4040663522,OP,4122,26.47,101320,35,-5,-22,-39,14,-34,994,400,0,40
1756387320,1,1,3080,4040664023,OP,4122,26.52,101320,40,-29,-22,14,54,-23,1021,454,0,40
1756387321,1,1,3081,4040664524,OP,4122,26.37,101319,45,8,-14,-11,92,-33,1022,325,0,40
1756387321,1,1,3082,4040665024,OP,4122,26.31,101321,31,13,-24,41,-63,59,982,386,0,40
1756387322,1,1,3083,4040665525,OP,4122,26.8,101319,46,36,-7,23,-42,35,1015,336,0,40
1756387322,1,1,3084,4040666027,OP,4122,26.48,101321,29,15,45,-3,-68,-36,995,308,0,40
1756387323,1,1,3085,4040666527,OP,4122,26.56,101319,42,-13,8,10,-2,54,1027,290,0,40
1756387323,1,1,3086,4040667028,OP,4122,26.55,101322,23,-8,14,24,-36,37,958,242,0,40
1756387324,1,1,3087,4040667529,OP,4122,26.45,101319,46,-7,1,-4,-9,-52,1029,323,0,40
1756387324,1,1,3088,4040668030,OP,4122,26.28,101320,36,0,9,6,51,-30,963,274,0,40
1756387325,1,1,3089,4040668532,OP,4122,26.69,101321,27,4,-23,13,20,8,961,243,0,40
1756387325,1,1,3090,4040669035,OP,4122,26.49,101320,39,-24,-22,1,-42,-76,1037,280,0,40
1756387326,1,1,3091,4040669536,OP,4122,26.48,101319,43,-19,25,1,-46,-74,1005,213,0,40
1756387326,1,1,3092,4040670038,OP,4122,26.38,101319,43,17,11,-4,12,6,940,220,0,40
1756387327,1,1,3093,4040670539,OP,4122,26.24,101319,48,-8,-4,1,14,-6,985,172,0,40
1756387327,1,1,3094,4040671040,OP,4122,26.52,101317,58,-12,25,-3,31,-49,992,253,0,40
1756387328,1,1,3095,4040671540,OP,4122,26.4,101320,35,18,-13,-10,6,28,1047,152,0,40
1756387328,1,1,3096,4040672041,OP,4122,26.33,101320,33,39,14,0,24,4,1058,94,0,40
1756387329,1,1,3097,4040672542,OP,4122,26.35,101319,42,-17,24,6,21,6,1134,110,0,40
1756387329,1,1,3098,4040673042,OP,4122,26.3,101319,42,-18,13,-11,8,59,913,241,0,40
1756387330,1,1,3099,4040673543,OP,4122,26.49,101319,44,14,16,18,24,-63,956,133,0,40
1756387330,1,1,3100,4040674044,OP,4122,26.72,101319,43,7,15,-12,101,-36,996,162,0,40
1756387331,1,1,3101,4040674545,OP,4122,26.29,101318,50,-19,23,-23,-17,-11,987,183,0,40
1756387331,1,1,3102,4040675048,OP,4122,26.64,101321,30,-25,-6,11,-39,-66,925,86,0,40
1756387332,1,1,3103,4040675549,OP,4122,26.82,101321,29,9,23,-8,-29,-136,1030,110,0,40
1756387332,1,1,3104,4040676050,OP,4122,26.35,101320,37,28,2,-10,-22,-16,1077,73,0,40
1756387333,1,1,3105,4040676552,OP,4122,26.63,101321,31,-39,0,-18,43,-2,935,191,0,40
1756387333,1,1,3106,4040677053,OP,4122,26.38,101321,33,-13,4,-11,-4,58,1035,146,0,40
1756387334,1,1,3107,4040677554,OP,4122,26.87,101319,42,-7,11,25,64,-63,950,153,0,40
1756387334,1,1,3108,4040678056,OP,4122,26.42,101319,43,9,15,17,82,24,1009,104,0,40
1756387335,1,1,3109,4040678557,OP,4122,26.66,101321,31,5,-2,0,5,-3,965,87,0,40
1756387335,1,1,3110,4040679058,OP,4122,26.64,101320,35,7,-1,-17,-7,5,1062,250,0,40
1756387336,1,1,3111,4040679559,OP,4122,26.71,101319,46,-34,20,19,-48,-55,975,150,0,40
1756387336,1,1,3112,4040680060,OP,4122,26.57,101319,42,-42,22,22,-72,0,958,102,0,40
1756387337,1,1,3113,4040680560,OP,4122,26.21,101319,48,10,35,-20,5,17,1040,117,0,40
1756387337,1,1,3114,4040681062,OP,4122,26.26,101320,38,13,-14,-2,-75,-5,963,126,0,40
1756387338,1,1,3115,4040681564,OP,4122,26.24,101320,38,0,-5,11,-53,39,909,211,0,40
1756387338,1,1,3116,4040682065,OP,4122,26.84,101318,53,27,7,36,-32,-72,971,143,0,40
1756387339,1,1,3117,4040682566,OP,4121,26.7,101319,49,-6,-6,-19,-54,-11,956,112,0,40
1756387339,1,1,3118,4040683066,OP,4121,26.55,101321,28,16,35,4,10,12,1019,177,0,40
1756387340,1,1,3119,4040683567,OP,4121,26.44,101321,31,-3,13,-9,-45,-53,1067,195,0,40
1756387340,1,1,3120,4040684069,OP,4121,26.39,101318,53,-20,11,-24,11,18,1008,179,0,40
1756387341,1,1,3121,4040684570,OP,4121,26.08,101319,48,9,0,23,-4,2,1008,198,0,40
1756387341,1,1,3122,4040685072,OP,4121,26.34,101319,45,2,25,-34,20,-77,1015,206,0,40
1756387342,1,1,3123,4040685573,OP,4121,26.51,101318,53,0,-30,35,28,73,1063,270,0,40
1756387342,1,1,3124,4040686074,OP,4121,26.4,101320,36,9,-7,-10,-38,-47,1049,204,0,40
1756387343,1,1,3125,4040686575,OP,4121,26.26,101319,45,10,28,2,54,23,1072,313,0,40
1756387343,1,1,3126,4040687076,OP,4121,26.13,101319,47,-17,8,7,25,-40,1059,286,0,40
1756387344,1,1,3127,4040687576,OP,4121,26.5,101318,53,-3,-4,6,17,107,941,241,0,40
1756387344,1,1,3128,4040688077,OP,4121,26.41,101320,37,-4,-24,5,14,33,975,354,0,40
1756387345,1,1,3129,4040688578,OP,4121,26.71,101318,52,-5,-25,11,-44,-43,990,377,0,40
1756387345,1,1,3130,4040689079,OP,4121,26.35,101319,46,-38,-8,0,106,77,1038,388,0,40
1756387346,1,1,3131,4040689581,OP,4121,25.89,101321,29,-4,-3,-13,-23,15,1036,448,0,40
1756387346,1,1,3132,4040690083,OP,4121,26.45,101320,41,-31,-10,-16,48,46,976,415,0,40
1756387347,1,1,3133,4040690586,OP,4121,26.8,101321,32,6,-3,-18,78,-93,1039,432,0,40
1756387347,1,1,3134,4040691088,OP,4121,26.56,101319,42,6,-3,-12,-12,84,1020,413,0,40
1756387348,1,1,3135,4040691588,OP,4121,26.4,101319,41,6,-5,19,26,118,1045,393,0,40
1756387348,1,1,3136,4040692089,OP,4121,26.43,101319,44,35,-7,10,1,-6,1034,444,0,40
1756387349,1,1,3137,4040692590,OP,4121,26.71,101320,39,4,0,26,40,22,946,526,0,40
1756387349,1,1,3138,4040693090,OP,4121,26.31,101317,58,24,-17,-14,0,8,1022,466,0,40
1756387350,1,1,3139,4040693593,OP,4121,26.16,101318,50,-11,11,-24,29,3,1005,540,0,40
1756387350,1,1,3140,4040694094,OP,4121,26.16,101321,31,-15,28,38,86,124,943,558,0,40
1756387351,1,1,3141,4040694596,OP,4121,26.26,101319,42,27,-34,2,44,-33,958,589,0,40
1756387351,1,1,3142,4040695099,OP,4121,26.26,101320,33,12,-22,-1,33,-47,973,627,0,40
1756387352,1,1,3143,4040695601,OP,4121,26.38,101321,27,0,12,8,-38,24,1007,631,0,40
1756387352,1,1,3144,4040696104,OP,4121,26.16,101320,37,24,-16,-2,94,40,914,682,0,40
1756387353,1,1,3145,4040696606,OP,4121,26.45,101319,48,-10,22,21,-24,60,1010,700,0,40
